ShallowCapsNet, mnist
98.94	5.53	7.83	(7, 6, 5)	(4, 5, 7)	(3, 4)
99.50	2.03	6.29	(17, 16, 15)	(5, 6, 7)	(7, 4)
98.91	2.03	7.83	(17, 16, 15)	(4, 5, 6)	(5, 4)
99.07	3.27	7.83	(11, 10, 9)	(4, 5, 6)	(5, 4)
98.94	6.69	7.83	(6, 5, 4)	(4, 5, 7)	(5, 4)
99.19	4.11	6.40	(9, 8, 7)	(5, 5, 7)	(5, 3)
99.49	4.11	6.29	(9, 8, 7)	(5, 6, 7)	(5, 4)
99.21	6.69	5.33	(6, 5, 4)	(6, 6, 7)	(5, 4)
99.48	5.53	5.26	(7, 6, 5)	(6, 7, 7)	(5, 5)
98.90	4.11	6.40	(9, 8, 7)	(5, 5, 6)	(4, 3)
98.71	7.99	5.41	(6, 4, 4)	(6, 5, 6)	(8, 7)
99.19	2.03	7.83	(17, 16, 15)	(4, 5, 7)	(8, 4)
99.54	3.27	6.29	(11, 10, 9)	(5, 6, 7)	(7, 4)
99.25	5.53	7.68	(7, 6, 5)	(4, 6, 7)	(5, 5)
99.41	3.27	6.40	(11, 10, 9)	(5, 5, 7)	(5, 4)
ShallowCapsNet, fashion-mnist
92.26	3.27	6.00	(11, 10, 9)	(5, 9, 9)	(6, 6)
92.72	2.03	5.05	(17, 16, 15)	(6, 10, 13)	(8, 7)
91.90	4.11	6.19	(9, 8, 7)	(5, 7, 9)	(6, 6)
92.40	2.03	6.09	(17, 16, 15)	(5, 8, 10)	(9, 6)
91.91	2.03	6.19	(17, 16, 15)	(5, 7, 10)	(6, 5)
92.67	4.57	5.18	(10, 7, 7)	(6, 8, 13)	(10, 6)
92.49	5.33	5.91	(9, 6, 6)	(5, 10, 10)	(7, 7)
92.37	4.11	4.47	(9, 8, 7)	(7, 9, 9)	(7, 6)
91.91	7.20	2.91	(8, 4, 6)	(11, 11, 10)	(11, 9)
92.35	3.27	5.26	(11, 10, 9)	(6, 7, 11)	(9, 5)
92.67	3.27	4.98	(11, 10, 9)	(6, 11, 15)	(8, 7)
DeepCaps, mnist
99.73	2.09	4.12	(15, 15, 14, 14, 14, 14, 14, 15, 15, 14, 15, 16, 16, 16, 16, 16, 15, 16)	(9, 9, 4, 5, 5, 5, 5, 5, 5, 9, 4, 4, 4, 4, 4, 4, 4, 9)	(2, 3)
99.64	4.37	3.76	(7, 7, 6, 6, 6, 6, 6, 7, 7, 6, 7, 8, 8, 8, 8, 8, 7, 8)	(10, 10, 4, 5, 5, 5, 5, 5, 5, 10, 4, 4, 4, 3, 3, 3, 3, 10)	(2, 3)
99.27	8.53	3.19	(5, 4, 2, 2, 2, 2, 3, 3, 2, 2, 2, 6, 3, 6, 6, 6, 2, 4)	(11, 11, 7, 8, 8, 8, 8, 8, 8, 11, 7, 7, 7, 6, 6, 6, 6, 11)	(2, 8)
99.56	7.02	2.89	(6, 3, 4, 2, 2, 2, 2, 2, 2, 2, 3, 7, 3, 7, 7, 7, 2, 7)	(11, 11, 11, 12, 12, 12, 12, 12, 12, 11, 11, 11, 11, 6, 6, 6, 6, 11)	(6, 11)
99.65	3.10	4.12	(10, 10, 9, 9, 9, 9, 9, 10, 10, 9, 10, 11, 11, 11, 11, 11, 10, 11)	(9, 9, 4, 5, 5, 5, 5, 5, 5, 9, 4, 4, 4, 4, 4, 4, 4, 9)	(2, 3)
98.80	10.30	3.98	(5, 4, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 4, 5, 2, 5)	(9, 9, 5, 6, 6, 6, 6, 6, 6, 9, 5, 5, 5, 6, 6, 6, 6, 9)	(2, 6)
99.59	6.26	3.09	(6, 6, 4, 2, 2, 2, 2, 2, 2, 2, 6, 7, 7, 7, 7, 7, 6, 7)	(11, 11, 7, 12, 12, 12, 12, 12, 12, 11, 7, 7, 7, 11, 11, 11, 11, 11)	(2, 4)
99.45	4.37	5.53	(7, 7, 6, 6, 6, 6, 6, 7, 7, 6, 7, 8, 8, 8, 8, 8, 7, 8)	(6, 6, 4, 8, 8, 8, 8, 8, 8, 6, 4, 4, 4, 2, 2, 2, 2, 6)	(2, 3)
99.56	2.09	4.16	(15, 15, 14, 14, 14, 14, 14, 15, 15, 14, 15, 16, 16, 16, 16, 16, 15, 16)	(9, 9, 4, 4, 4, 4, 4, 4, 4, 9, 4, 4, 4, 2, 2, 2, 2, 9)	(2, 3)
98.76	8.26	3.98	(5, 4, 2, 2, 2, 2, 3, 2, 2, 2, 2, 6, 3, 6, 6, 6, 2, 5)	(9, 9, 5, 6, 6, 6, 6, 6, 6, 9, 5, 5, 5, 9, 9, 9, 9, 9)	(2, 4)
99.52	6.02	3.49	(5, 5, 4, 4, 4, 4, 4, 5, 5, 4, 5, 6, 6, 6, 6, 6, 5, 6)	(11, 11, 4, 4, 4, 4, 4, 4, 4, 11, 4, 4, 4, 4, 4, 4, 4, 11)	(2, 3)
99.58	3.10	4.16	(10, 10, 9, 9, 9, 9, 9, 10, 10, 9, 10, 11, 11, 11, 11, 11, 10, 11)	(9, 9, 4, 4, 4, 4, 4, 4, 4, 9, 4, 4, 4, 2, 2, 2, 2, 9)	(2, 3)
99.63	4.37	4.16	(7, 7, 6, 6, 6, 6, 6, 7, 7, 6, 7, 8, 8, 8, 8, 8, 7, 8)	(9, 9, 4, 4, 4, 4, 4, 4, 4, 9, 4, 4, 4, 3, 3, 3, 3, 9)	(2, 3)
99.44	3.10	5.53	(10, 10, 9, 9, 9, 9, 9, 10, 10, 9, 10, 11, 11, 11, 11, 11, 10, 11)	(6, 6, 4, 8, 8, 8, 8, 8, 8, 6, 4, 4, 4, 2, 2, 2, 2, 6)	(2, 3)
99.31	2.09	6.12	(15, 15, 14, 14, 14, 14, 14, 15, 15, 14, 15, 16, 16, 16, 16, 16, 15, 16)	(5, 5, 5, 8, 8, 8, 8, 8, 8, 5, 5, 5, 5, 2, 2, 2, 2, 5)	(2, 3)
99.56	5.07	4.16	(6, 6, 5, 5, 5, 5, 5, 6, 6, 5, 6, 7, 7, 7, 7, 7, 6, 7)	(9, 9, 4, 4, 4, 4, 4, 4, 4, 9, 4, 4, 4, 2, 2, 2, 2, 9)	(2, 3)
99.27	7.33	3.12	(5, 5, 2, 2, 2, 2, 3, 3, 2, 2, 2, 6, 6, 6, 6, 6, 2, 6)	(11, 11, 9, 6, 6, 6, 6, 6, 6, 11, 9, 9, 9, 2, 2, 2, 2, 11)	(2, 4)
99.61	5.07	3.46	(6, 6, 5, 5, 5, 5, 5, 6, 6, 5, 6, 7, 7, 7, 7, 7, 6, 7)	(11, 11, 4, 5, 5, 5, 5, 5, 5, 11, 4, 4, 4, 2, 2, 2, 2, 11)	(2, 3)
